127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:10:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/default/index, HTTP/1.1, 200, 2.042000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.tablesorter.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/skeleton.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/jqueryui/js/jquery-ui-1.8.17.custom.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/superfish.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/tablesorter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/jquery.tagbox.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/jqueryui/css/redmond/jquery-ui-1.8.17.custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/sh/sh_ide-msvcpp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.tablednd_0_5.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/evemetrics.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.tagbox.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.cookie.js, HTTP/1.1, 200, 0.001000
